"path","folder","file_name","size_bytes","dimensions","sibling_webp","related_webp_note","recommended_mode","notes"
"assets/images/prophets/1. AdamAS.png","assets/images/prophets","1. AdamAS.png","2232152","1024x1536","no","Existing related WebP name mismatch: assets/images/prophets/1_prophet_adam_card.webp","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion. Existing related WebP name mismatch: assets/images/prophets/1_prophet_adam_card.webp"
"assets/images/prophets/10. YaqubAS.png","assets/images/prophets","10. YaqubAS.png","2624580","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/11. YusufAS.png","assets/images/prophets","11. YusufAS.png","2539555","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/12. ShuaybAS.png","assets/images/prophets","12. ShuaybAS.png","2522250","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/13. AyyubAS.png","assets/images/prophets","13. AyyubAS.png","2808373","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/14. DhulKifrAS.png","assets/images/prophets","14. DhulKifrAS.png","2713489","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/15. MusaAS.png","assets/images/prophets","15. MusaAS.png","2730563","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/16.png","assets/images/prophets","16.png","2774712","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/17.png","assets/images/prophets","17.png","2862594","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/18.png","assets/images/prophets","18.png","2777135","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/19.png","assets/images/prophets","19.png","2851731","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/2. IdrisAS.png","assets/images/prophets","2. IdrisAS.png","2028150","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/20.png","assets/images/prophets","20.png","2914807","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/21.png","assets/images/prophets","21.png","2659037","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/22.png","assets/images/prophets","22.png","2968490","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/23.png","assets/images/prophets","23.png","3076663","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/24.png","assets/images/prophets","24.png","3214250","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/25.png","assets/images/prophets","25.png","3076521","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/3. NuhAS.png","assets/images/prophets","3. NuhAS.png","2062436","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/4. HudAS.png","assets/images/prophets","4. HudAS.png","2198004","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/5. SalihAS.png","assets/images/prophets","5. SalihAS.png","2372122","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/6. IbrahimAS.png","assets/images/prophets","6. IbrahimAS.png","2128330","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/7.png","assets/images/prophets","7.png","3079968","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output."
"assets/images/prophets/8. IsmailAS.png","assets/images/prophets","8. IsmailAS.png","2424210","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/prophets/9. IshaqAS.png","assets/images/prophets","9. IshaqAS.png","2584867","1024x1536","no","","LOSSLESS","Poster-style Prophet card with baked title text and soft illustration details; favor text-safe lossless output. Filename includes spaces: quote paths during conversion."
"assets/images/backgrounds/93E27DDB-C3BE-42A2-ABA1-21EB3C8B93A9.PNG","assets/images/backgrounds","93E27DDB-C3BE-42A2-ABA1-21EB3C8B93A9.PNG","2766838","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/Loading.png","assets/images/backgrounds","Loading.png","2601518","1024x1536","no","","MANUAL_REVIEW","Branded background with baked text/logo; review visual quality before any lossy pass."
"assets/images/backgrounds/Settings_bg_v1.PNG","assets/images/backgrounds","Settings_bg_v1.PNG","2398800","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/bg_v1.png","assets/images/backgrounds","bg_v1.png","2567169","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/backgrounds/glv1.PNG","assets/images/backgrounds","glv1.PNG","2842067","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/glv3.PNG","assets/images/backgrounds","glv3.PNG","3046689","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/glv4.PNG","assets/images/backgrounds","glv4.PNG","3136567","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/glv5.PNG","assets/images/backgrounds","glv5.PNG","3082251","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/glv6.PNG","assets/images/backgrounds","glv6.PNG","3052722","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/glv7.PNG","assets/images/backgrounds","glv7.PNG","2922564","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate. Uppercase .PNG extension: keep execution scripts case-insensitive."
"assets/images/backgrounds/growth.png","assets/images/backgrounds","growth.png","3639717","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/backgrounds/learning.png","assets/images/backgrounds","learning.png","3152967","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/backgrounds/salah.png","assets/images/backgrounds","salah.png","3280934","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/backgrounds/settings.png","assets/images/backgrounds","settings.png","3261946","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/backgrounds/worship.png","assets/images/backgrounds","worship.png","3280934","1024x1536","no","","LOSSY_Q85","Full-frame textured scenic background; lossy WebP is the best first-pass candidate."
"assets/images/wudu/step_01_niyyah.png","assets/images/wudu","step_01_niyyah.png","1390157","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_02_prepare_water.png","assets/images/wudu","step_02_prepare_water.png","1610171","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_03_bismillah.png","assets/images/wudu","step_03_bismillah.png","1856337","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_04_wash_hands.png","assets/images/wudu","step_04_wash_hands.png","1892755","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_05_rinse_mouth_card.png","assets/images/wudu","step_05_rinse_mouth_card.png","1891996","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_06_sniff_nose_card.png","assets/images/wudu","step_06_sniff_nose_card.png","2005776","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_07_blow_nose_card.png","assets/images/wudu","step_07_blow_nose_card.png","2088010","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_08_wash_face_card.png","assets/images/wudu","step_08_wash_face_card.png","2007629","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_09_wash_arms.png","assets/images/wudu","step_09_wash_arms.png","2082195","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_10_wipe_head.png","assets/images/wudu","step_10_wipe_head.png","2032882","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_11_wash_feet_card.png","assets/images/wudu","step_11_wash_feet_card.png","2120984","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_12_shahada_card.png","assets/images/wudu","step_12_shahada_card.png","2010469","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_13_dua.png","assets/images/wudu","step_13_dua.png","2051413","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
"assets/images/wudu/step_14_cleanup_card.png","assets/images/wudu","step_14_cleanup_card.png","2116976","1024x1024","no","","LOSSLESS","Instructional illustration with clean edges and/or text-safe UI treatment; prefer lossless."
