key,english_source,same_as_english_locale_count,missing_locale_count
learningJourneyReadingShaddahTakeaway2,Pronunciation improves when the doubled sound is respected.,11,0
learningJourneyReadingShaddahTakeaway3,Small sound details matter in recitation.,11,0
learningJourneyReadingSukunBullet1,Notice the difference between movement and rest.,11,0
learningJourneyReadingSukunBullet2,Pause enough to hear the resting letter.,11,0
learningJourneyReadingSukunBullet3,Use simple examples before longer words.,11,0
learningJourneyReadingSukunLessonIntro,Sukun teaches you what happens when a letter rests without a vowel. That resting sound is important for clearer reading.,11,0
learningJourneyReadingSukunReflection,Do resting letters still make you want to add a vowel automatically?,11,0
learningJourneyReadingSukunSection1Body,"A letter with sukun does not carry a new vowel movement. Instead, you stop on the letter and hear its rest clearly.",11,0
learningJourneyReadingSukunSection1Title,How sukun feels,11,0
learningJourneyReadingSukunSection2Body,Use simple examples where the contrast between a moving letter and a resting letter is easy to hear.,11,0
learningJourneyReadingSukunSection2Title,Practice suggestion,11,0
learningJourneyReadingSukunTakeaway1,Sukun teaches stillness in reading.,11,0
learningJourneyReadingSukunTakeaway2,Resting letters help words sound correct.,11,0
learningJourneyReadingSukunTakeaway3,Small listening differences matter.,11,0
learningJourneyReciteCompletionActionStep,Pick one phrase from prayer or dhikr and keep its meaning present the next three times you say it.,11,0
learningJourneyReciteCompletionBullet1,Choose one phrase to carry into worship.,11,0
learningJourneyReciteCompletionBullet3,Let meaning lead you into deeper Qur’an learning.,11,0
learningJourneyReciteCompletionIntro,"You have connected familiar recitation to meaning. Now the task is to let that meaning travel into worship, dhikr, and your next learning step.",11,0
learningJourneyReciteCompletionReflection,Which familiar phrase do you most want to keep consciously alive in worship this week?,11,0
learningJourneyReciteCompletionSection1Body,Familiar phrases no longer need to stay empty or automatic. You now have simple anchors that can bring more attention into prayer and remembrance.,11,0
learningJourneyReciteCompletionSection1Title,What changed in this journey,11,0
learningJourneyReciteCompletionSection2Title,What to do next,11,0
