key,en_value
"learningJourneyCharacterAngerSection2Body","Step back, lower your tone, seek refuge in Allah, change posture if needed, and avoid speaking while the heart is still inflamed."
"learningJourneyCharacterForgivenessBullet1","Ask Allah to heal your heart before forcing yourself into words."
"learningJourneyCharacterForgivenessReflection","Is there one hurt you need to place before Allah so it stops ruling your heart?"
"learningJourneyCharacterForgivenessSection2Body","When a person forgives for Allah, the heart becomes lighter. Forgiveness can protect you from becoming shaped by the very harm you suffered."
"learningJourneyCharacterForgivenessTakeaway1","Forgiveness is strongest when done for Allah."
"learningJourneyCharacterHumilityBullet3","Remember that every gift is from Allah."
"learningJourneyCharacterHumilityIntro","Humility means seeing your need for Allah clearly and treating people without arrogance."
"learningJourneyCharacterHumilityTakeaway3","Remembering Allah reduces self-importance."
"learningJourneyCharacterIkhlasActionStep","Choose one small act today that only Allah knows you intended for Him."
"learningJourneyCharacterIkhlasBullet3","If praise reaches you, thank Allah and keep your heart steady."
"learningJourneyCharacterIkhlasIntro","Ikhlas means doing what is right for Allah, not for showing off, praise, or control."
"learningJourneyCharacterIkhlasSection1Body","Sincerity purifies actions from the inside. Two people may do the same outward deed, but the one who seeks Allah alone carries a different weight with Him."
"learningJourneyCharacterIkhlasStageSummary","Begin with ikhlas so your actions are rooted in Allah alone."
"learningJourneyCharacterSabrBullet3","Ask Allah for help instead of collapsing into panic."
"learningJourneyCharacterSabrIntro","Sabr is not passive weakness. It is steady obedience, self-restraint, and trust in Allah through difficulty."
"learningJourneyCharacterSabrReflection","Where do you most need to slow down and trust Allah more?"
"learningJourneyCharacterSabrSection2Body","Sabr often looks ordinary: lowering your reaction, continuing a duty, waiting without complaint, and asking Allah for help before speaking or acting."
"learningJourneyCharacterShukrActionStep","Thank Allah specifically for one blessing today, then use it in one good way."
"learningJourneyCharacterShukrBullet2","Use a blessing in a way Allah loves."
"learningJourneyCharacterShukrIntro","Shukr means recognizing blessings from Allah and responding with praise, obedience, and better use of what He gave."
"learningJourneyCharacterShukrSection1Body","Saying Alhamdulillah matters, but gratitude also includes how you use time, health, wealth, knowledge, and relationships."
"learningJourneyIslandCoreKnowledgeAyahArabic","اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ"
"learningJourneyLessonSectionProgressSubtitle","Complete this section to save your progress."
"learningJourneyWisdomPracticeSection1Body","Choose one small action that matches the reminder: pause before speaking, thank Allah aloud, forgive quickly, review one verse, or return to dhikr."
"learningJourneyDailyDhikrSubtitle","Remember Allah through steady daily dhikr."
"learningJourneyFaithAngelsIntro","Angels are honored servants of Allah who obey Him completely and carry out the tasks He assigns."
"learningJourneyFaithAngelsSection1Body","Angels are part of the unseen world. They do not disobey Allah. Some bring revelation, some record deeds, and some have responsibilities known only to Allah."
"learningJourneyFaithAngelsSection2Body","Belief in angels reminds you that life is not only what you can see. It encourages sincerity, careful speech, and reverence for Allah''s perfect order."
"learningJourneyFaithAngelsTakeaway1","Angels belong to the unseen creation of Allah."
"learningJourneyFaithAngelsTakeaway2","They obey Allah without rebellion."
"learningJourneyFaithCompletionSection1Body","Faith is not a set of isolated topics. Belief in Allah, His angels, His books, His messengers, the Last Day, and qadr all work together to shape how you worship, hope, fear, and live."
"learningJourneyFaithNamesIntro","Allah has beautiful names that teach us who He is and how we should turn to Him."
"learningJourneyFaithNamesReflection","Which name of Allah do you want to learn more deeply this week, and why?"
"learningJourneyFaithNamesSection1Body","The names of Allah are not random labels. Each name teaches perfection, mercy, knowledge, power, wisdom, and care. They help the heart know Allah more deeply."
"learningJourneyFaithNamesSection2Body","When you learn a name such as Ar-Rahman or Al-Hakim, you begin to notice that Allah''s mercy and wisdom touch every part of life. This brings hope, patience, and awe."
"learningJourneyFaithNamesTakeaway1","Allah''s names help you know Him more truly."
"learningJourneyFaithNamesTakeaway3","Learning the names of Allah can deepen worship and dua."
"learningJourneyFaithNamesTitle","Names of Allah"
"learningJourneyFaithTawheedIntro","Tawheed means singling out Allah alone in worship, love, hope, fear, and reliance."
"learningJourneyFaithTawheedReflection","Where in your life do you most need to renew your reliance on Allah alone?"
"learningJourneyFaithTawheedSection1Body","A Muslim believes that Allah alone deserves prayer, trust, sacrifice, and ultimate obedience. Tawheed is not only a statement. It is a way of turning the heart fully to Allah."
"learningJourneyFaithTawheedSection2Body","In daily life, tawheed means asking Allah before creation, seeking His help first, and guarding your worship from showing off or depending on what cannot truly save you."
"learningJourneyFaithWhoIsAllahIntro","This lesson introduces the most important truth: Allah is the Creator, Sustainer, and only One worthy of worship."
"learningJourneyFaithWhoIsAllahReflection","When you call upon Allah today, what does it mean to remember who He is?"
"learningJourneyFaithWhoIsAllahSection1Body","Allah created everything, owns everything, and is perfect in every way. He is not like creation. He was not born, and He does not depend on anyone."
"learningJourneyFaithWhoIsAllahSection2Body","Knowing Allah changes how you live. It brings trust in difficulty, gratitude in blessings, and sincerity in worship because your heart turns to Him first."
"learningJourneyFaithWhoIsAllahTakeaway1","Allah is unique and unlike His creation."
"learningJourneyFaithWhoIsAllahTakeaway2","All worship belongs to Allah alone."
"learningJourneyFaithWhoIsAllahTakeaway3","Knowing Allah gives the heart direction and peace."
"learningJourneyFaithWhoIsAllahTitle","Who is Allah?"
"learningJourneyFatihahCompletionSection1Body","Al-Fatihah begins with praise, centers worship and dependence, and ends with guidance-seeking. It teaches a full relationship between the servant and Allah."
"learningJourneyFatihahReadBullet3","Opening with Allah changes the tone of prayer."
"learningJourneyFatihahReadIntro","Al-Fatihah opens with praise, gratitude, and recognition of Allah as Lord over every world and every creature."
"learningJourneyFatihahReadSection1Body","“In the name of Allah” begins with dependence. “All praise is for Allah” teaches gratitude. “Lord of the worlds” reminds you that Allah cares for all creation and governs it fully."
"learningJourneyFatihahReadTakeaway2","Allah’s Lordship gives the surah its foundation."
"learningJourneyFatihahRecitationBullet2","Ibadah and dependence belong to Allah alone."
