key,en_value
"learnCharacterCompanionAllTraitsChip","All traits"
"learnCharacterCompanionAngerDescription","Respond slowly when anger rises so strength is measured by restraint rather than reaction."
"learnCharacterCompanionAngerNextStep","Open the anger and self-control scenario, then use the anger journey stage when you need prophetic restraint more than argument."
"learnCharacterCompanionAngerPracticalExpression","Notice the first heat in your body and slow your voice, your pace, and your words before the moment becomes heavier."
"learnCharacterCompanionFocusSubtitle","Choose one trait when you want the page to stay practical and personally relevant on return visits."
"learnCharacterCompanionFocusTitle","Focus on one trait"
"learnCharacterCompanionForgivenessDescription","Hold people accountable when needed without letting resentment become your inner tone."
"learnCharacterCompanionForgivenessNextStep","Walk through the family scenario, then reopen the forgiveness journey stage when a wound starts shaping your tone more than mercy does."
"learnCharacterCompanionForgivenessPracticalExpression","Refuse to keep feeding an old hurt with repeated inner replay, even while you still set wise boundaries and speak truthfully."
"learnCharacterCompanionHadithSourceSubtitle","Use Hadith themes and collections when character and manners need direct prophetic guidance."
"learnCharacterCompanionHeroNote","Beautiful character grows through repeated choices in family, speech, intention, anger, mercy, and consistency."
"learnCharacterCompanionHumilityDescription","Lower the ego so truth, service, and respect can stay stronger than self-importance."
"learnCharacterCompanionHumilityNextStep","Use the neighbors and community scenario, then return to the humility journey stage when status or defensiveness starts leading the moment."
"learnCharacterCompanionHumilityPracticalExpression","Make room for correction, listen without protecting your ego, and let service matter more than being noticed."
"learnCharacterCompanionIkhlasDescription","Keep intentions clean by seeking Allah’s pleasure before recognition, praise, or quick results."
"learnCharacterCompanionIkhlasNextStep","Open the intentions scenario, then revisit the ikhlas journey stage when your worship or service starts to feel performative."
"learnCharacterCompanionIkhlasPracticalExpression","Pause before a good deed, service, or study effort and ask whether your heart is still facing Allah more than image, praise, or momentum."
"learnCharacterCompanionKindnessDescription","Make gentleness visible in tone, timing, and the way you carry people’s weaknesses."
"learnCharacterCompanionKindnessNextStep","Begin with the speech scenario, then return to the kindness journey stage when you need mercy to remain visible in ordinary interactions."
"learnCharacterCompanionKindnessPracticalExpression","Choose a softer tone, better timing, and more considerate words so truth lands without harshness or contempt."
"learnCharacterCompanionLifeSourceSubtitle","Move into broader life lessons when a trait needs more practical context, examples, and daily application."
"learnCharacterCompanionMeaningTitle","Meaning"
"learnCharacterCompanionNextStepTitle","Next step"
"learnCharacterCompanionPracticalExpressionTitle","Practical expression"
"learnCharacterCompanionPracticeTodaySubtitle","Use one lived situation to turn the trait you chose into a deliberate response today."
"learnCharacterCompanionPracticeTodayTitle","Practice this today"
"learnCharacterCompanionQuranSourceSubtitle","Open Ayah Insights when character and adab themes need Qur''anic guidance and reflection."
"learnCharacterCompanionSabrDescription","Practice patience by staying steady in hardship, worship, and dealing with people."
"learnCharacterCompanionSabrNextStep","Move into the consistency scenario, then return to the sabr journey stage for steadiness in worship and daily pressure."
"learnCharacterCompanionSabrPracticalExpression","Hold your response a little longer than your emotion wants, especially when hardship, delay, or irritation makes quick reaction feel easier."
"learnCharacterCompanionScenarioAngerDescription","Practice restraint before words and decisions make a hard moment heavier."
"learnCharacterCompanionScenarioAngerNextStep","Open the Hadith character and manners theme when you need direct prophetic guidance on restraint, gentleness, and measured strength."
"learnCharacterCompanionScenarioAngerPracticalExpression","Interrupt the first surge with silence, breath, or physical pause so your strength shows in restraint before speech becomes harm."
"learnCharacterCompanionScenarioAngerSubtitle","Slow the first reaction so strength stays tied to taqwa."
"learnCharacterCompanionScenarioAngerTitle","Anger and self-control"
"learnCharacterCompanionScenarioCarryForwardTitle","Carry this next"
"learnCharacterCompanionScenarioConsistencyDescription","Keep good conduct alive through small regular actions instead of waiting for ideal moods, strong energy, or a perfect spiritual moment."
"learnCharacterCompanionScenarioConsistencyNextStep","Open Qur''an guidance for daily life when you need revelation-shaped steadiness in worship, manners, and routine conduct during changing seasons of energy."
"learnCharacterCompanionScenarioConsistencyPracticalExpression","Choose one steady behavior you can keep on tired, rushed, or low-motivation days, because character deepens more through repeatable faithfulness than occasional intensity."
"learnCharacterCompanionScenarioConsistencySubtitle","Build small regular habits that hold character and worship together when motivation fluctuates."
"learnCharacterCompanionScenarioConsistencyTitle","Consistency and steady conduct"
"learnCharacterCompanionScenarioFamilyDescription","Bring adab into everyday tension, caregiving, and small family conversations."
"learnCharacterCompanionScenarioFamilyNextStep","Open Divine Life family lessons when home responsibilities, tension, or caregiving need more practical examples."
"learnCharacterCompanionScenarioFamilyPracticalExpression","Practice patience, soft speech, and quiet service at home before looking for character tests in bigger public moments."
"learnCharacterCompanionScenarioFamilySubtitle","Bring mercy, patience, and good speech into the home."
"learnCharacterCompanionScenarioFamilyTitle","Family life"
"learnCharacterCompanionScenarioIntentionsDescription","Return to sincerity whenever worship, service, or learning starts to drift toward image or habit."
"learnCharacterCompanionScenarioIntentionsNextStep","Open the Hadith intention theme when sincerity needs direct prophetic reminders about why actions are judged by intention."
"learnCharacterCompanionScenarioIntentionsPracticalExpression","Name the act you are about to do, then quietly renew who it is for before habit, image, or public notice starts steering it."
"learnCharacterCompanionScenarioIntentionsSubtitle","Begin actions by checking who they are really for."
"learnCharacterCompanionScenarioIntentionsTitle","Intentions"
"learnCharacterCompanionScenarioMeaningTitle","Situation"
"learnCharacterCompanionScenarioNeighborsDescription","Treat neighbors and shared spaces as a real test of adab through reliability, quiet kindness, patient boundaries, and the way people feel around you."
"learnCharacterCompanionScenarioNeighborsNextStep","Move into Divine Life community lessons when shared space, small tensions, or overlooked neighbor duties need fuller practical examples."
"learnCharacterCompanionScenarioNeighborsPracticalExpression","Notice the ordinary neighbor rights people remember most: greeting well, keeping noise and harm in check, offering small help, respecting privacy, and staying patient when irritation is minor."
"learnCharacterCompanionScenarioNeighborsSubtitle","Honor neighbors through reliability, patience, boundaries, and everyday presence."
"learnCharacterCompanionScenarioNeighborsTitle","Neighbors and community"
"learnCharacterCompanionScenarioPracticeTitle","Practice here"
"learnCharacterCompanionScenarioSpeechDescription","Use fewer words, clearer truth, and more gentleness when speaking under pressure."
"learnCharacterCompanionScenarioSpeechNextStep","Open Qur''an reflection on character and adab when you need ayah-guided restraint, timing, and mercy in speech."
"learnCharacterCompanionScenarioSpeechPracticalExpression","Lower the temperature of your speech first, then choose words that stay truthful without becoming sharp, loud, or excessive."
"learnCharacterCompanionScenarioSpeechSubtitle","Guard the tongue with honesty, gentleness, and restraint."
"learnCharacterCompanionScenarioSpeechTitle","Speech"
"learnCharacterCompanionScenarioWorkStudyDescription","Use this scenario when workload, deadlines, or academic pressure start squeezing sincerity, patience, speech, and presence with people."
"learnCharacterCompanionScenarioWorkStudyNextStep","Open Divine Life trust and effort themes when pressure, decisions, or busy seasons need more Qur''an-rooted perspective on calm excellence and reliance."
"learnCharacterCompanionScenarioWorkStudyPracticalExpression","Slow the rush just enough to renew your intention, lower your tone, and protect one steady act of worship or good conduct even when the day feels compressed."
"learnCharacterCompanionScenarioWorkStudySubtitle","Carry adab, intention, and restraint into deadlines, stress, and busy seasons."
"learnCharacterCompanionScenarioWorkStudyTitle","Work and study pressure"
"learnCharacterCompanionScenariosSubtitle","Move from inner qualities into the lived situations where adab is practiced, tested, and repeated in ordinary life."
"learnCharacterCompanionScenariosTitle","Daily scenarios"
"learnCharacterCompanionShukrDescription","Let gratitude show through words, worship, and the way blessings are used."
"learnCharacterCompanionShukrNextStep","Start with the family scenario, then revisit the shukr journey stage when blessings begin to feel ordinary."
"learnCharacterCompanionShukrPracticalExpression","Turn appreciation into action by using a blessing with care, naming it to Allah, and letting it improve the way you treat people around you."
