key,en_value
"quranUserIntentReflectLabel","Reflect more"
"quranUserIntentReflectRecommendation","Stay with one ayah, one reflection cue, and one gentle next step through the daily companion."
"quranUserIntentSubtitle","Choose a calm default focus for how you want the Qur''an experience to help you right now."
"quranUserIntentThemesLabel","Study themes"
"quranUserIntentThemesRecommendation","Follow one Qur''anic theme across ayahs, related journeys, and connected learning surfaces."
"quranUserIntentTitle","Your Qur''an focus"
"quranUserIntentUnderstandLabel","Understand more"
"quranUserIntentUnderstandRecommendation","Keep study and meaning closer to the surface with stronger surah and theme handoffs."
"quranAyahInsightsBrowseSubtitleTawhidBelief","Foundational belief, Tawhid, trust, and awareness of Allah."
"quranReaderNowPlayingFallbackSurahLabel","Surah {surahNumber}"
"quranReaderSearchClearAction","Clear"
"quranReaderSearchClearRecentAction","Clear recent"
"quranReaderSearchHint","Search translation, transliteration, or Arabic"
"quranReaderSearchMatchCounter","{current} of {total}"
"quranReaderSearchNextAction","Next match"
"quranReaderSearchPillLabel","Search"
"quranReaderSearchPreviousAction","Previous match"
"quranReaderSearchRunAction","Search"
"quranReaderSearchScopeCurrentSurah","Current Surah"
"quranReaderSearchScopeSubtitle","Find matches in the current surah."
"quranReaderSearchScopeWholeQuran","Whole Qur’an"
"quranReaderSearchSheetTitle","Search this surah"
"quranReaderSearchWholeQuranSubtitle","Find matches across the whole Qur’an."
"quranReferenceBlockTransliterationUnavailable","Transliteration is not available for this ayah yet."
"quranSearchFilterAll","All"
"quranSearchFilterArabic","Arabic"
"quranSearchFilterSurah","Surah"
"quranSearchFilterTranslation","Translation"
"quranSearchFilterTransliteration","Transliteration"
"quranSearchMatchArabic","Arabic"
"quranSearchMatchSurah","Surah"
"quranSearchMatchTranslation","Translation"
"quranSearchMatchTransliteration","Transliteration"
"quranSummaryFilterMadani","Madani"
"quranSummaryFilterMakki","Makki"
"quranSurahInsightLessonDuaIsPartOfLivedFaith","Du''a belongs inside faith and worship, not outside them, because nearness to Allah should produce calling upon Him."
"quranSurahInsightLessonGratitudeIsWorship","Gratitude is a form of worship that acknowledges Allah''s favor with the heart, tongue, and life."
"quranSurahInsightLessonRememberingAllahReshapesTheHeart","Remembering Allah is not decorative spirituality; it reforms the heart and steadies the believer."
"quranSurahInsightLessonSincereLearningBeginsWithHumility","Seeking knowledge begins with humility before Allah, not with self-satisfaction."
