key,en_value,untranslated_locale_count,untranslated_locales
"learningJourneyDailyDhikrSubtitle","Remember Allah through steady daily dhikr.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithAngelsIntro","Angels are honored servants of Allah who obey Him completely and carry out the tasks He assigns.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithAngelsSection1Body","Angels are part of the unseen world. They do not disobey Allah. Some bring revelation, some record deeds, and some have responsibilities known only to Allah.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithAngelsSection2Body","Belief in angels reminds you that life is not only what you can see. It encourages sincerity, careful speech, and reverence for Allah''s perfect order.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithAngelsTakeaway1","Angels belong to the unseen creation of Allah.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithAngelsTakeaway2","They obey Allah without rebellion.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithCompletionSection1Body","Faith is not a set of isolated topics. Belief in Allah, His angels, His books, His messengers, the Last Day, and qadr all work together to shape how you worship, hope, fear, and live.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesIntro","Allah has beautiful names that teach us who He is and how we should turn to Him.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesReflection","Which name of Allah do you want to learn more deeply this week, and why?",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesSection1Body","The names of Allah are not random labels. Each name teaches perfection, mercy, knowledge, power, wisdom, and care. They help the heart know Allah more deeply.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesSection2Body","When you learn a name such as Ar-Rahman or Al-Hakim, you begin to notice that Allah''s mercy and wisdom touch every part of life. This brings hope, patience, and awe.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesTakeaway1","Allah''s names help you know Him more truly.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesTakeaway3","Learning the names of Allah can deepen worship and dua.",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
"learningJourneyFaithNamesTitle","Names of Allah",14,"ar,bn,de,fa,fa_AF,ha,id,ku,ms,pa,ps,tg,tr,ur"
